index,0
Hannah Clothier Hull,American feminists
Helen LaKelly Hunt,American feminists
Kate Campbell Hurd-Mead,American feminists
Kameron Hurley,American feminists
Tara Hurley,American feminists
Siri Hustvedt,American feminists
Loraine Hutchins,American feminists
Sikivu Hutchinson,American feminists
Jan Lisa Huttner,American feminists
Donna Hylton,American feminists
Walidah Imarisha,American feminists
Janaye Ingram,American feminists
Mary Inman,American feminists
Patricia Ireland,American feminists
Barbara Haney Irvine,American feminists
Ada Maria Isasi-Diaz,American feminists
Janet Jackson,American feminists
Mary Putnam Jacobi,American feminists
Naomi Jaffe,American feminists
Lauren Jauregui,American feminists
Karla Jay,American feminists
Therese A. Jenkins,American feminists
Jessicka,American feminists
Carolyn Jessop,American feminists
Joan Jett,American feminists
Jewel (singer),American feminists
Izetta Jewel,American feminists
Adelaide Johnson,American feminists
Barbara Johnson,American feminists
Carrie Ashton Johnson,American feminists
Kevin Rashid Johnson,American feminists
Amelia Jones,American feminists
Claudia Jones,American feminists
Feminista Jones,American feminists
Rosalie Gardiner Jones,American feminists
Sarah Jones (screen actress),American feminists
Judith V. Jordan,American feminists
June Jordan,American feminists
Ashley Judd,American feminists
Konrad Juengling,American feminists
Miranda July,American feminists
Mohja Kahf,American feminists
Jessie Kahnweiler,American feminists
Roberta Kalechofsky,American feminists
Zaruhi Kalemkaryan,American feminists
Shanley Kane,American feminists
E. Ann Kaplan,American feminists
Barrie Karp,American feminists
Ruby Karp,American feminists
Billy Karren,American feminists
Ellyn Kaschak,American feminists
Paula Kassell,American feminists
Myra Keen,American feminists
Nancy Keenan,American feminists
Christine Kehoe,American feminists
Jamie Lauren Keiles,American feminists
Lierre Keith,American feminists
Florence Kelley,American feminists
Robin Kelley,American feminists
Beth Kelly,American feminists
Joan Kelly,American feminists
Mary Kelly (artist),American feminists
Elizabeth Lapovsky Kennedy,American feminists
Ethne Kennedy,American feminists
Florynce Kennedy,American feminists
Dorothy Kenyon,American feminists
Mary Dublin Keyserling,American feminists
Ranjana Khanna,American feminists
Clara Sue Kidwell,American feminists
Michael Kimmel,American feminists
Madison Kimrey,American feminists
Billie Jean King,American feminists
Coretta Scott King,American feminists
Jean Ledwith King,American feminists
Rebecca Ann King,American feminists
Laura Kipnis,American feminists
Lola Kirke,American feminists
Sharon Kleinbaum,American feminists
Karlie Kloss,American feminists
Sarah Knox-Goodrich,American feminists
Jenni Konner,American feminists
Nomiki Konst,American feminists
Karin Korb,American feminists
Felicia Kornbluh,American feminists
Peggy Kornegger,American feminists
Carolyn Korsmeyer,American feminists
Cheris Kramarae,American feminists
Marjorie Kramer,American feminists
LaVerne Krause,American feminists
Barbara Kruger,American feminists
Quill Kukla,American feminists
Opal Kunz,American feminists
Belle Case La Follette,American feminists
Winona LaDuke,American feminists
Elaine Lafferty,American feminists
Nomy Lamm,American feminists
Katherine G. Langley,American feminists
Esther Lape,American feminists
Brie Larson,American feminists
Jane Larson,American feminists
Queen Latifah,American feminists
Jennifer Lawrence,American feminists
Tamika Lawrence,American feminists
Elizabeth le Fey,American feminists
Mary Greenleaf Clement Leavitt,American feminists
Henry Leffmann,American feminists
Lori Hope Lefkovitz,American feminists
John Legend,American feminists
Dorchen Leidholdt,American feminists
Shawna Lenee,American feminists
Mavis Leno,American feminists
Gloria Leonard,American feminists
Eva Lewis,American feminists
Graceanna Lewis,American feminists
Helen Matthews Lewis,American feminists
Judith L. Lichtman,American feminists
Anna Forbes Liddell,American feminists
Belda Kaufman Lindenbaum,American feminists
Susie Linfield,American feminists
Lisa Ling,American feminists
Judith Linhares,American feminists
Mimi Lobell,American feminists
Sondra Locke,American feminists
Ruth Lockhart,American feminists
Belva Ann Lockwood,American feminists
Helen Longino,American feminists
Audre Lorde,American feminists
Demi Lovato,American feminists
Courtney Love,American feminists
Linda Lovelace,American feminists
Charlotte Denman Lozier,American feminists
Anna Lukens,American feminists
Jincey Lumpkin,American feminists
Alma Lutz,American feminists
Lynzy Lab Stewart,American feminists
Barbara Macdonald,American feminists
Karen Machover,American feminists
Allison Mack,American feminists
Jessie Belle Hardy Stubbs MacKaye,American feminists
Lily Mae,American feminists
Sam Maggs,American feminists
Ellen Malcolm,American feminists
Sarah Mangelsdorf,American feminists
Camryn Manheim,American feminists
Wilma Mankiller,American feminists
Arabella Mansfield,American feminists
Jamie Marchi,American feminists
Amanda Marcotte,American feminists
Kitty Marion,American feminists
Dana Marlowe,American feminists
Paule Marshall,American feminists
Elizabeth Holloway Marston,American feminists
Courtney E. Martin,American feminists
Del Martin and Phyllis Lyon,American feminists
Mary Sperry,American feminists
Lucy Randolph Mason,American feminists
Niki Massey,American feminists
Erin Matson,American feminists
E. Ann Matter,American feminists
Zerlina Maxwell,American feminists
Lily Mazahery,American feminists
Elise Johnson McDougald,American feminists
Millicent Carey McIntosh,American feminists
Peggy McIntosh,American feminists
Mia McKenzie,American feminists
Sheila McLaughlin,American feminists
Mary Latimer McLendon,American feminists
Toni McNaron,American feminists
Don McPherson,American feminists
Lucia Ames Mead,American feminists
"Meghan, Duchess of Sussex",American feminists
Tanya Melich,American feminists
Page Mellish,American feminists
Ana Mendieta,American feminists
Idina Menzel,American feminists
Christia Mercer,American feminists
Ellis Meredith,American feminists
Michael Messner,American feminists
Deena Metzger,American feminists
Judith Meuli,American feminists
Annie Nathan Meyer,American feminists
Carlin Meyer,American feminists
Sheila Michaels,American feminists
Ingrid Michaelson,American feminists
Alvera Mickelsen,American feminists
Alyssa Milano,American feminists
Inez Milholland,American feminists
Vida Milholland,American feminists
Jude Milhon,American feminists
Betty Millard,American feminists
Layli Miller-Muro,American feminists
Emma Guffey Miller,American feminists
Jean Baker Miller,American feminists
Kate Millett,American feminists
Tiffany Million,American feminists
Kay Mills (writer),American feminists
Fania Mindell,American feminists
S. Isadore Miner,American feminists
Miss Ko,American feminists
Cheryl Moch,American feminists
Patricia Mohammed,American feminists
Helen Molesworth,American feminists
Laura Molina (artist),American feminists
Virginia Ramey Mollenkott,American feminists
Taylor Momsen,American feminists
Ginny Montes,American feminists
Virginia Lee Montgomery,American feminists
Barbara Mor,American feminists
Iris Morales,American feminists
Dorinda Moreno,American feminists
Chloë Grace Moretz,American feminists
Lewis H. Morgan,American feminists
Margaret Mary Morgan,American feminists
Sandra Morgen,American feminists
Alanis Morissette,American feminists
Toni Morrison,American feminists
Carol Moseley Braun,American feminists
Clelia Duel Mosher,American feminists
Ruth Mountaingrove,American feminists
Kate Mulgrew,American feminists
Kate Mullany,American feminists
Harryette Mullen,American feminists
Lorraine Murray,American feminists
PZ Myers,American feminists
Kathy Najimy,American feminists
Tonie Nathan,American feminists
Irene Natividad,American feminists
Mark Anthony Neal,American feminists
Holly Near,American feminists
Terry Neese,American feminists
Julie A. Nelson,American feminists
Shirin Neshat,American feminists
Debra L. Ness,American feminists
Mary Gove Nichols,American feminists
Zoe Nicholson,American feminists
Asra Nomani,American feminists
Kerry Noonan,American feminists
Zelda Nordlinger,American feminists
Frances Northcutt,American feminists
Eleanor Holmes Norton,American feminists
Sarah F. Norton,American feminists
Kaya Oakes,American feminists
Rosie O'Donnell,American feminists
Madalyn Murray O'Hair,American feminists
Denise Oliver-Velez,American feminists
Kelly Oliver,American feminists
Tillie Olsen,American feminists
Loreen Olson,American feminists
Ijeoma Oluo,American feminists
Terry O'Neill (feminist),American feminists
Gloria Feman Orenstein,American feminists
Bukola Oriola,American feminists
Craig Owens (critic),American feminists
Nina Paley,American feminists
Amanda Palmer,American feminists
Marcia Pappas,American feminists
Maud Wood Park,American feminists
Pat Parker,American feminists
Mary Virginia Cook Parrish,American feminists
C. J. Pascoe,American feminists
Alice Paul,American feminists
Melusina Fay Peirce,American feminists
Virginia Penny,American feminists
Lori Perkins,American feminists
Sue Perlgut,American feminists
Katy Perry,American feminists
Mildred Persinger,American feminists
Irene Peslikis,American feminists
Esther Peterson,American feminists
Sarah Dudley Pettey,American feminists
Joy Picus,American feminists
Alison Piepmeier,American feminists
Sarah Pierce,American feminists
Parker Pillsbury,American feminists
Harriet Pilpel,American feminists
Pink (singer),American feminists
Steven Pinker,American feminists
Lydia Pinkham,American feminists
Helen Pitts Douglass,American feminists
Judith Plaskow,American feminists
Martha Edgerton Rolfe Plassmann,American feminists
Ronnie L. Podolefsky,American feminists
Abigail Pogrebin,American feminists
Letty Cottin Pogrebin,American feminists
Natalie Portman,American feminists
Susan Powter,American feminists
Jennifer Pozner,American feminists
Anne Pride,American feminists
Princess Nokia,American feminists
Lorine Pruette,American feminists
Sarah Pugh,American feminists
Chris Pureka,American feminists
Ruth Putnam (author),American feminists
Laura Quilter,American feminists
Aron Ra,American feminists
Lydia Rabinowitsch-Kempner,American feminists
Maria Raha,American feminists
Yvonne Rainer,American feminists
Bonnie Raitt,American feminists
Cat Rambo,American feminists
Lynn Randolph,American feminists
Edna Rankin McKinnon,American feminists
Jeannette Rankin,American feminists
Eleanor Raskin,American feminists
Mary Curtis Ratcliff,American feminists
Ida Rauh,American feminists
Heidi Ravven,American feminists
Elizabeth Fisher Read,American feminists
Maureen Reagan,American feminists
Helen Reddy,American feminists
Tucker Reed,American feminists
Paula Reimers,American feminists
Rosetta Reitz,American feminists
Reno (comedian),American feminists
Consuelo Reyes-Calderon,American feminists
Margaret Rhee,American feminists
Amy Richards,American feminists
Ann Richards,American feminists
Cecile Richards,American feminists
Cory L. Richards,American feminists
Jolie Christine Rickman,American feminists
Dorothy Riddle,American feminists
Alice Riggs Hunt,American feminists
Faith Ringgold,American feminists
Sylvia Rivera,American feminists
Franc Roads,American feminists
Trina Robbins,American feminists
Robin Tewes,American feminists
Elizabeth Robins,American feminists
Lillian Robinson,American feminists
Ida Hall Roby,American feminists
Abby Rockefeller (ecologist),American feminists
Lois Roden,American feminists
Henrietta Rodman,American feminists
Favianna Rodriguez,American feminists
Eric Rofes,American feminists
Elizabeth Selden Rogers,American feminists
Joy Young Rogers,American feminists
Anne Roiphe,American feminists
Esther Rome,American feminists
Sonia Romero,American feminists
Saoirse Ronan,American feminists
Malea Rose,American feminists
Ruth Rosen,American feminists
Rosie Rosenzweig,American feminists
Grace Ross,American feminists
Leona Rostenberg,American feminists
Gabriel Rothblatt,American feminists
Vivian Rothstein,American feminists
Harilyn Rousso,American feminists
Alma Routsong,American feminists
Candida Royalle,American feminists
Kathy Rudy,American feminists
María Ruiz de Burton,American feminists
Muriel Rukeyser,American feminists
Leila J. Rupp,American feminists
Letty M. Russell,American feminists
Mary Ruthsdotter,American feminists
Alison Ruttan,American feminists
Danya Ruttenberg,American feminists
Agnes Ryan,American feminists
Betye Saar,American feminists
Lindsay Sabadosa,American feminists
Diane Sabin,American feminists
Elizabeth Sackler,American feminists
Mary J. Safford,American feminists
Zainab Salbi,American feminists
Salt-N-Pepa,American feminists
JD Samson,American feminists
Eliz Sanasarian,American feminists
Linda Sánchez,American feminists
Bernie Sanders,American feminists
Bernice Sandler,American feminists
Margaret Sanger,American feminists
Lizé Santana,American feminists
Santigold,American feminists
Susan Sarandon,American feminists
Pamela Sargent,American feminists
Anita Sarkeesian,American feminists
Ann C. Scales,American feminists
John Scalzi,American feminists
Letha Dawson Scanzoni,American feminists
Carolee Schneemann,American feminists
Susan Schnur,American feminists
Emma Fall Schofield,American feminists
Ariel Schrag,American feminists
Pat Schroeder,American feminists
Amy Schumer,American feminists
Philippa Schuyler,American feminists
Ada Estelle Schweitzer,American feminists
Karley Sciortino,American feminists
Janet Scudder,American feminists
Carol Seajay,American feminists
Peggy Seeger,American feminists
Mab Segrest,American feminists
Joan Semmel,American feminists
Gita Sen,American feminists
Susan Sensemann,American feminists
Juliet Stillman Severance,American feminists
May Wright Sewall,American feminists
Mary Ann Shadd,American feminists
Fern Shaffer,American feminists
Ntozake Shange,American feminists
Mary Lyndon Shanley,American feminists
Tracy Denean Sharpley-Whiting,American feminists
Mary Shaw (actress),American feminists
Andrew N. Shearer,American feminists
Rosa Sheng,American feminists
Lynn Sherr,American feminists
Catherine Shipe East,American feminists
Madigan Shive,American feminists
Iliza Shlesinger,American feminists
Maria Shriver,American feminists
Gwendolyn Zoharah Simmons,American feminists
Ruth Simpson (activist),American feminists
Louise Slaughter,American feminists
Elmina D. Slenker,American feminists
Margaret Sloan-Hunter,American feminists
Radio Sloan,American feminists
Eleanor Smeal,American feminists
Linda Smircich,American feminists
Carroll Smith-Rosenberg,American feminists
Barbara Smith,American feminists
Beverly Smith,American feminists
Elliott Smith,American feminists
Freda Smith (clergy),American feminists
Jen Smith,American feminists
Mu Sochua,American feminists
Pia de Solenni,American feminists
Joey Soloway,American feminists
Indigo Som,American feminists
Susan Sontag,American feminists
Christine Bradley South,American feminists
Louise Southgate,American feminists
Aminatou Sow,American feminists
Donita Sparks,American feminists
Anna Garlin Spencer,American feminists
Katherine Spillar,American feminists
Sarah Field Splint,American feminists
Rebecca Spring,American feminists
Rebecca Buffum Spring,American feminists
Margo St. James,American feminists
Gael Stack,American feminists
Elizabeth Cady Stanton,American feminists
Susan Leigh Star,American feminists
Bobbi Starr,American feminists
Jill Stein,American feminists
Linda Stein (artist),American feminists
Gloria Steinem,American feminists
Sandra Steingraber,American feminists
Renate Stendhal,American feminists
Madeleine B. Stern,American feminists
Meredith Stern,American feminists
Susan Stern,American feminists
Doris Stevens,American feminists
May Stevens,American feminists
